humidity,temp,dewSpread,cloudLow,cloudMid,cloudHigh,cloudTotal,wind,pressure,precip24,precip48,precipToday,wetThenClear,nightCloudHigh,nightCloudTotal,nightCloudLow,nightCooling,windDir,humidityNight,humidityRise,elevation,month,label,date,lat,lon,source
94.25,9.575,0.8750000000000004,64.5,74.75,78,95,5.775,1014.4499999999999,26.6,47.7,0.2,0,20,86,71.8,2.1833333333333336,237,92.8,1.4500000000000028,1918,4,1,2026-04-23,27.51,114.15,xhs
94.5,11.225,0.8499999999999996,100,99.5,65.5,100,2.6,1015.075,3.8000000000000003,11.999999999999998,0.6,0,73.6,99.6,99.6,1.7166666666666668,360,98.4,-3.9000000000000057,1262,4,1,2026-04-23,29.32,110.43,xhs
78.75,10.275,3.575,0,3.5,49.25,49.5,5.825,1012.9499999999999,0,0,0,0,74.6,74.6,0,6.466666666666667,331,76.8,1.9500000000000028,1291,4,1,2026-04-22,39.97,116.06,xhs
97.25,15.625,0.40000000000000036,52.5,100,100,100,2.775,1006.875,13.299999999999999,13.299999999999999,17.900000000000002,0,99.8,100,9,-0.21666666666666679,349,95.8,1.4500000000000028,800,4,1,2026-04-22,30.35,120.06,xhs
46.75,5.175,10.425,0,13.5,100,100,5.75,1018.6999999999999,9.6,13.9,6.3999999999999995,0,99.6,99.6,0,1.8500000000000005,196,47.6,-0.8500000000000014,1545,4,1,2026-04-21,36.25,117.1,xhs
62.75,10.9,6.875000000000001,0,13.5,99.75,99.75,10.649999999999999,1019.5749999999999,3.6,3.6,5.9,0,80.2,100,6.6,8.549999999999997,10,81.4,-18.650000000000006,680,4,1,2026-04-20,36.05,117.02,xhs
92.5,13.85,1.1500000000000004,0,0.5,100,100,4,1008.1999999999999,0,1.3,3,0,51.2,51.2,0,5.166666666666666,286,83,9.5,1291,4,1,2026-04-19,39.97,116.06,xhs
85.25,8.15,2.325,0,0,0,0,2.45,1012.9749999999999,4.3,6.5,0,1,0,0,0,2.216666666666666,280,85.2,0.04999999999999716,1864,4,1,2026-04-19,30.13,118.17,xhs
96.75,17.200000000000003,0.5000000000000009,57.25,99.75,17,99.75,5.15,1013.9,0,13.099999999999998,2.900000000000001,0,61.6,99.8,51.4,2.116666666666667,36,92,4.75,1480,4,1,2026-04-18,29.95,119.47,xhs
97.75,8.850000000000001,0.32499999999999973,1,55.5,0.5,55.75,3.5,1014.025,2.2,9.399999999999999,4.3,1,44.6,100,3.4,1.200000000000001,69,96,1.75,1864,4,1,2026-04-18,30.13,118.17,xhs
