label,score,cloudMid,cloudHigh,cloudLow,cloudTotal,humidity,visibility,pressure,precip,wind
1,44,0,100,0,100,69,0,1025,0,8.7
1,64,0,30,16,40,81,0,1016.3,0,36.6
1,26,0,0,0,0,0,0,0,0,0
1,52,0,0,0,0,64,26700,1019.4,0,5.8
1,63,0,0,0,0,50,0,1007.2,0,24.9
1,31,86,0,20,88,78,0,1004.6,0.1,16.6
1,35,5,0,35,36,86,0,1031.5,0,7
1,35,5,0,35,36,86,0,1031.5,0,7
1,40,0,5,41,45,76,0,1013.9,0,9.1
1,36,1,0,0,2,82,0,1013.8,0,18.2
1,60,43,100,13,100,76,24140,1013.6,0,13.2
1,49,38,60,53,81,93,0,1004.3,0.1,7.7
1,40,8,0,14,15,53,0,1032.7,0,13.3
1,60,0,0,0,0,68,25500,1013,0,7.7
1,43,3,0,49,49,85,14280,1016.6,0,23.3
1,52,3,0,5,7,73,24140,1020.4,0,5.4
1,40,0,0,0,0,55,0,1010.9,0,23.1
1,46,1,0,4,5,58,1860,1022.9,0,6.3
1,68,0,92,0,92,87,15320,1025.3,0,7.6
1,35,3,0,99,99,96,1000,1006.2,3.2,11.2
1,42,0,3,11,14,77,0,1032.3,0,8
1,55,0,2,82,82,71,0,1026.1,0,9.8
1,25,100,100,1,100,88,0,1009.9,0.8,13.3
1,68,6,87,7,88,72,0,1014,0,20.6
1,40,2,0,0,2,61,0,1018.6,0,15.4
1,28,0,0,0,0,0,0,0,0,0
1,37,0,0,88,88,63,0,1018.2,0,9.8
1,48,0,0,0,0,61,0,1017.9,0,10.2
1,28,0,0,0,0,0,0,0,0,0
1,28,0,0,0,0,0,0,0,0,0
1,48,5,100,0,100,65,0,1006.3,0,10.8
1,60,11,78,0,86,89,0,1003.4,0,4.8
1,52,0,0,0,0,51,73080,1009.7,0,20.2
1,52,0,0,0,0,51,73080,1009.7,0,20.2
1,16,41,1,96,98,80,0,1000.1,0,4.4
1,68,0,77,0,77,63,0,1010.6,0,10.5
1,45,0,0,6,6,50,0,1018.3,0,4.3
1,61,27,0,0,27,41,0,1024.4,0,9.4
1,68,0,48,0,48,53,0,1017.8,0,21.1
1,68,7,87,0,87,60,0,1016.3,0,8.2
1,50,3,0,9,9,55,24140,1017.5,0,4.6
1,67,11,52,35,71,68,0,1019.3,0,13.4
1,42,0,97,87,76,93,0,1016.8,0,12.2
1,49,16,0,12,22,66,0,1009.7,0,23.8
1,66,16,64,0,69,62,0,1015,0,8.5
1,69,73,3,0,73,39,24140,1009.9,0,7.2
1,56,100,82,41,100,86,20300,1018.6,0.1,12.2
1,64,80,69,5,95,85,21800,1017.2,0,6.5
1,52,0,0,0,0,53,35000,1008.2,0,9.3
1,61,1,10,0,11,54,17840,1007.1,0,2.9
1,22,0,100,100,100,97,0,1002.6,0,5.5
1,43,26,15,15,39,91,0,998.2,0,3.7
1,47,0,0,19,20,67,0,1033.1,0,2.6
1,64,0,38,0,38,35,0,1019.3,0,7.4
1,40,0,0,5,6,60,0,1010.3,0,5.1
1,28,0,0,0,0,0,0,0,0,0
1,69,73,3,0,73,39,24140,1009.9,0,7.2
1,40,0,0,5,6,60,0,1010.3,0,5.1
1,38,0,52,95,97,97,0,1017.9,0,4.6
1,56,100,82,41,100,86,20300,1018.6,0.1,12.2
1,56,93,88,0,96,59,0,1006.7,0.1,14.8
1,78,31,60,0,80,78,24140,1028.7,0,7.8
1,53,79,18,46,88,76,23240,1008.9,0,7
1,54,0,100,0,100,63,64340,1021.8,0,4.8
1,40,0,0,5,7,75,0,1013,0,4.6
1,47,1,0,3,3,68,0,1015.7,0,7.8
1,39,0,0,0,0,77,0,1022,0,10
1,63,0,72,0,72,80,0,1022.6,0,15.8
1,31,0,0,100,100,94,12300,1016.4,0,20.2
1,56,0,0,0,0,15,24140,1007.7,0,4.1
1,39,17,100,4,100,83,0,1014.6,0,4.7
1,60,0,0,0,0,79,37440,1016.6,0,6.2
1,45,0,0,12,12,87,50000,1026.1,0,4
1,59,1,14,1,16,69,50000,1011.8,0,7.6
1,60,100,1,0,100,65,50000,1007.6,0,18.4
1,62,54,36,16,70,40,0,1014.7,0,11.2
1,56,10,38,0,45,25,0,1010.5,0,8.8
1,65,0,0,0,0,40,0,1012.3,0,6.6
1,39,43,14,18,57,93,0,1010.4,0.1,6.4
1,62,100,100,0,100,73,0,1024,0,10.5
1,67,12,98,8,98,87,0,1004.1,0,7.3
1,67,12,98,8,98,87,0,1004.1,0,7.3
1,67,12,98,8,98,87,0,1004.1,0,7.3
1,67,7,15,0,22,49,0,1004.8,0,8
1,68,24,49,0,55,54,0,1007.4,0,13.9
0,20,0,0,96,96,71,0,1028,0,4
0,56,100,100,54,100,60,24140,1023.2,0,4
0,40,0,0,0,0,74,0,1018.4,0,31.8
0,52,0,0,19,19,65,24140,1015.2,0,14.5
0,48,3,100,31,100,63,0,1014.4,0,23.9
0,37,15,0,13,21,74,0,1014.8,0,17.7
0,53,47,98,2,99,71,0,1011.1,0,10.8
0,68,6,80,0,81,56,0,1015.5,0,6.4
0,43,96,100,100,100,84,22980,1013.5,0.2,23.1
0,56,4,0,100,100,91,24140,1019,0,13.7
0,76,4,84,0,85,77,14060,1013.9,0,21.2
0,24,7,100,100,100,85,0,1020.4,0.1,7.7
0,27,52,97,100,100,96,0,1014.6,0,4.7
0,24,100,97,100,100,99,0,1006.5,2.5,24.8
0,7,85,0,100,100,98,0,986.6,1.1,17.9
0,31,0,0,56,56,69,0,1025.5,0,7.6
0,25,99,0,4,100,86,0,1013.9,0.8,18.1
0,43,39,22,14,51,95,0,1014.8,0,4.6
0,48,74,96,37,98,65,0,1014.4,0,22.7
0,45,0,0,3,4,74,0,1026,0,19.8
0,40,0,0,20,21,74,0,1021.4,0,26.4
0,40,0,0,18,19,73,0,1016.1,0,12.2
0,17,100,100,99,100,92,12960,986.1,0.4,12.6
0,14,1,0,73,91,88,18800,996.4,0,26.6
0,45,29,99,17,100,79,0,1016.9,0,6.8
0,50,85,0,0,85,68,0,1002.5,0,10.5
0,28,0,0,0,0,0,0,0,0,0
0,28,0,0,0,0,0,0,0,0,0
0,48,1,96,3,96,87,0,1017.5,0,21
0,36,0,0,92,93,89,0,1020.2,0.4,13.7
0,55,7,0,16,17,72,24140,1015.6,0,7.9
0,48,2,0,0,3,54,0,1014.6,0,6.7
0,40,4,0,9,10,66,0,1010.7,0,17.5
0,48,0,0,0,0,61,0,1015.9,0,22
0,36,0,0,50,51,80,0,1017.8,0,3.3
0,58,77,98,6,99,16,0,1026.9,0,8
0,45,45,13,19,55,91,0,998.5,0,7.7
0,64,0,60,31,64,82,0,1016.9,0,12.1
0,29,82,0,99,99,92,13400,1000.3,0,10.5
0,28,0,0,0,0,0,0,0,0,0
0,36,0,0,100,100,82,0,1023.9,0,11.6
0,45,20,0,26,30,74,0,1009.6,0,6.6
0,28,0,0,0,0,0,0,0,0,0
0,67,22,29,10,45,64,0,988.1,0,17.4
0,40,0,0,12,12,58,0,1022,0,18.5
0,67,0,32,0,32,39,0,1025.6,0,5.5
0,40,0,0,3,3,75,0,1013.4,0,21.2
0,28,0,0,0,0,0,0,0,0,0
0,40,0,0,0,0,56,0,1015.6,0,13.4
0,52,0,0,0,0,61,24140,1014.3,0,15
0,52,0,0,4,4,51,36900,1017.9,0,11.2
0,36,0,0,0,1,84,0,1020,0,6.1
0,48,100,52,30,100,74,0,1014.9,1.1,10.5
0,40,6,0,0,6,38,0,1018.4,0,15.5
0,67,67,52,7,83,91,24140,1021.1,0.2,7.9
0,49,40,61,99,100,97,0,1015.9,0,12.9
0,22,0,14,100,100,98,0,1004.1,0,15.1
0,3,0,0,100,100,100,200,1011.2,1.4,34.6
0,38,2,0,0,2,65,0,1020.9,0,7.1
0,40,23,0,28,35,63,0,1021.9,0,6.6
0,58,13,99,3,100,86,0,1010.7,0,9.6
0,57,25,0,19,28,78,0,1011.3,0,4.9
0,60,66,100,31,100,89,24140,1005.5,0.6,7.3
0,70,21,90,0,53,92,24140,1007,0,2.4
0,42,16,0,15,19,88,0,1008,0,15
0,38,0,0,0,0,72,0,1010.8,0,27.7
0,44,0,0,27,27,84,27440,1015.1,0,16.6
0,51,1,0,0,1,73,24140,1013.7,0,4.9
0,65,0,27,0,27,58,0,1030.6,0,10.1
0,68,25,82,1,86,55,0,1012.8,0,13.7
0,54,3,0,2,5,59,20300,1010.7,0,5.4
0,52,0,0,5,5,68,24140,1023.9,0,16.1
0,44,0,100,0,100,51,0,1014.7,0,2.7
0,52,0,0,0,0,26,24140,1010.8,0,7.1
0,60,10,0,15,25,72,24140,1015.5,0,7.9
0,40,0,0,0,0,60,0,1021.7,0,10.8
0,76,0,0,0,0,43,24140,1011.5,0,21.3
0,34,0,0,78,78,68,0,1025.4,0,16.4
0,18,0,0,79,80,81,0,1013.2,0,10.7
0,31,0,0,5,5,90,0,1022.7,0,11.8
0,47,48,17,58,80,93,0,1008.6,0.9,4
0,54,20,94,0,95,67,0,1013.4,0,5.4
0,58,100,98,2,100,76,0,1023,0,17.3
0,75,0,84,42,95,79,22420,1015.5,0,15.8
0,15,41,0,97,98,89,0,1013.3,0,5.2
0,10,0,0,100,14,96,0,1034.3,0,2.9
0,48,0,100,0,100,52,0,1017.8,0,17.3
0,40,0,0,0,0,65,0,1030.8,0,10.9
0,48,9,0,0,10,35,0,1018.9,0,9.1
0,53,26,98,21,99,90,0,1007.7,0.1,14.6
0,58,49,97,19,99,81,0,998.3,0,9
0,52,0,0,0,0,41,75860,1024,0,7
0,68,0,19,33,46,74,24140,1021.9,0,8.2
0,30,0,0,96,96,55,0,1021.9,0,11.3
0,43,2,6,1,9,78,0,1013.2,0,19.7
0,70,90,18,0,94,69,34440,1016.2,0,13
