date,lat,lon,elevation,label,verdict,station,relativeToSpotM,score,temp,humidity,dewSpread,pressure,cloudLow,cloudMid,cloudHigh,wind,windDir,visibility,precip
2024-01-06,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2200,87,-4.9,100,0,1023.1,83,0,100,10.8,4,0,0
2024-02-11,28.2727,-16.6427,3644,1,above-cloud,GCTS,-3023,87,-0.5,64,6,1020,0,0,0,4.2,20,0,0
2024-03-04,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2353,90,-7.2,100,0,1025.9,100,0,0,7.3,9,0,0
2024-03-12,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2505,83,-6.1,65,5.6,1019.8,1,0,0,7.2,264,0,0
2024-03-26,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2048,80,-8.3,100,0,1020.3,90,0,0,11.7,351,0,0
2024-04-01,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2048,91,-7.1,98,0.3,1020,5,0,0,8.6,358,0,0
2024-05-15,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2353,86,-5.1,100,0.1,1018.3,98,0,0,6.9,354,0,0
2024-05-17,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2688,90,-5.2,100,0,1019.7,99,1,14,7.6,5,0,0
2024-05-19,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2962,82,-4.5,100,0,1019.2,85,0,0,10.5,352,0,0
2024-05-24,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2353,92,-5.2,100,0,1020.8,96,0,0,6.9,354,0,0
2024-05-28,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2505,86,-2.8,100,0,1022,100,0,0,5.5,349,0,0
2024-06-01,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2871,55,-0.3,76,3.7,1017.2,3,0,0,3.9,56,0,0
2024-06-04,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2505,82,-1.4,86,2.1,1020.1,47,0,0,6.9,6,0,0
2024-06-09,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2353,84,-2.8,100,0,1020.6,100,0,0,9.8,343,0,0
2024-06-11,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2200,81,-3.1,100,0,1022.5,100,0,0,7.6,352,0,0
2024-06-26,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2505,89,-0.8,95,0.7,1019.1,57,0,0,6.6,351,0,0
2024-06-30,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2840,67,2.2,45,10.7,1020.3,0,0,0,2.6,214,0,0
2024-07-07,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2962,49,3.7,47,10.4,1019.4,1,0,0,3,346,0,0
2024-07-29,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2505,82,2.4,98,0.2,1018.9,98,0,0,8.3,355,0,0
2024-09-16,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2658,95,0.6,98,0.4,1017.9,91,0,4,4.6,342,0,0
2024-09-18,28.2727,-16.6427,3644,1,above-cloud,GCTS,-1896,82,-2.4,100,0.1,1016.5,100,0,3,8.3,342,0,0
2024-09-29,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2597,93,-1.1,100,0,1022.6,86,0,0,7,342,0,0
2024-10-07,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2505,50,2.6,42,11.7,1017.6,3,0,10,10.6,337,0,0
2024-10-12,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2962,74,3.4,37,13.2,1019.7,2,0,68,9.1,243,0,0
2024-10-17,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2200,84,0.2,100,0,1026.3,100,7,4,1.8,323,0,0
2024-10-30,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2505,83,-6.4,100,0,1021.9,88,0,0,9.2,356,0,0
2024-11-20,28.2727,-16.6427,3644,1,above-cloud,GCTS,-524,74,-3,80,2.9,1023.8,15,1,0,3.9,133,0,0.2
2024-12-13,28.2727,-16.6427,3644,1,above-cloud,GCTS,-1896,88,-8.4,100,0,1022.9,91,0,0,7.5,8,0,0
2025-01-21,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2658,82,-5.3,99,0.2,1017.1,100,1,0,4.3,246,0,0
2025-02-02,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2353,82,-7.4,100,0,1028.7,89,0,97,14.2,7,0,0
2025-03-02,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2048,66,-8.6,99,0.1,1014,100,29,0,7.3,337,0,0.4
2025-03-09,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2353,87,-9.2,100,0,1017.7,93,0,0,8.7,333,0,0
2025-03-15,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2353,92,-10,100,0,1022,85,0,25,8.2,352,0,0
2025-03-26,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2200,83,-8,100,0,1024.2,100,0,0,8.3,358,0,0
2025-04-03,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2078,81,-8.5,100,0,1009.6,99,0,0,11.2,238,0,0
2025-04-15,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2505,86,-7.1,98,0.2,1021.6,47,0,0,8.8,359,0,0
2025-04-29,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2444,75,-5.5,81,2.7,1017.7,25,0,0,7.8,347,0,0
2025-05-04,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2505,86,-4.8,80,2.9,1019.9,1,0,0,4.6,339,0,0
2025-05-24,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2810,79,-3.5,90,1.5,1021.1,1,0,0,4.8,11,0,0
2025-05-30,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2962,66,1.9,34,14.1,1020,0,0,0,0.4,117,0,0
2025-06-08,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2719,84,-1.1,40,11.8,1019.9,0,0,0,0.9,79,0,0
2025-06-16,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2505,82,-2,59,7,1020.6,0,0,8,0.9,360,0,0
2025-07-10,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2962,49,6.7,30,16.4,1019.5,0,0,0,2,175,0,0
2025-08-03,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2505,70,2.1,67,5.5,1019.9,59,0,0,2,360,0,0
2025-08-28,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2658,91,1.4,98,0.2,1021.4,100,0,0,4.9,358,0,0
2025-09-01,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2810,92,1.4,90,1.4,1023.2,19,0,0,5.2,6,0,0
2025-09-24,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2048,77,-3.8,99,0.2,1022.6,100,0,0,12.6,358,0,0
2025-10-11,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2353,81,-3.1,94,0.8,1021.3,26,0,0,5.8,351,0,0
2025-10-19,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2658,85,-1,74,4.1,1020.9,15,0,0,6.3,357,0,0
2025-10-24,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2505,95,-0.3,100,0,1022.3,91,0,0,3.5,339,0,0
2025-11-11,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2353,92,-4,100,0,1019.1,98,0,0,5.5,349,0,0
2025-11-19,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2200,85,-6.4,100,0,1022.2,84,0,0,13.9,354,0,0
2025-11-27,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2353,83,-6.9,100,0,1022.3,89,0,0,9.9,355,0,0
2025-12-19,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2505,85,-7,100,0,1025.7,95,0,0,9.4,348,0,0
2026-01-01,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2810,74,-5.9,46,9.7,1012.4,19,0,98,6,201,0,0
2026-01-15,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2353,93,-9.9,100,0,1025.1,25,0,0,6.9,6,0,0
2026-01-22,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2810,88,-6.5,81,2.7,1022.5,19,0,91,4.2,353,0,0
2026-01-29,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2505,48,-4.7,43,10.8,1025.5,0,0,0,7.3,351,0,0
2026-02-26,28.2727,-16.6427,3644,1,above-cloud,GCTS,-1438,78,-9.6,100,0,1023.2,99,4,0,16.1,356,0,0.1
2026-03-07,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2353,89,-9.9,100,0,1023.5,95,0,0,8.3,5,0,0
2026-03-10,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2505,89,-8.2,100,0.1,1025.9,100,0,0,9.2,12,0,0
2026-03-21,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2658,66,-8,95,0.6,1001.9,100,34,0,8.1,283,0,4.8
2026-03-24,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2048,71,-7.1,99,0.1,1010.4,100,14,72,4.7,2,0,0
2026-03-28,28.2727,-16.6427,3644,1,above-cloud,GCTS,-2810,85,-7.5,74,3.8,1020.2,1,0,0,4.8,25,0,0
